doi,title,authors_str,pub_date,journal,abstract,pmid,pmid_link,pmcid,pmcid_link,citation_count,s2_paper_id
10.1126/science.adj4478,Ecological speciation in Darwin's finches: Ghosts of finches future.,Jeffrey Podos; Katie M Schroeder,2024-10-11,Science,"The theory of ecological speciation posits that adaptive divergence among incipient species raises incidental barriers to reproduction, thus catalyzing the emergence of new species. In this study, we conducted an experimental test of this theory in Galápagos finches, a clade in which beaks and mating songs are mechanistically linked. We forecasted the acoustic structure of songs for a set of possible evolutionary futures (successive droughts spurring increasingly large beaks) and, in a field assay, presented resulting song simulations to territorial males. We found that responses to songs dropped off after six simulated drought events, to degrees roughly comparable to drops in response to songs that diverged through cultural drift and acoustic adaptation. Our results support, in Darwin's finches, the feasibility and mechanistic bases of an ecological speciation hypothesis.",39388551,https://pubmed.ncbi.nlm.nih.gov/39388551/,,,,
10.1126/science.adf6218,Community-wide genome sequencing reveals 30 years of Darwin's finch evolution.,Erik D Enbody; Ashley T Sendell-Price; C Grace Sprehn; Carl-Johan Rubin; Peter M Visscher; B Rosemary Grant; Peter R Grant; Leif Andersson,2023-09-29,Science,"A fundamental goal in evolutionary biology is to understand the genetic architecture of adaptive traits. Using whole-genome data of 3955 of Darwin's finches on the Galápagos Island of Daphne Major, we identified six loci of large effect that explain 45% of the variation in the highly heritable beak size of Geospiza fortis, a key ecological trait. The major locus is a supergene comprising four genes. Abrupt changes in allele frequencies at the loci accompanied a strong change in beak size caused by natural selection during a drought. A gradual change in Geospiza scandens occurred across 30 years as a result of introgressive hybridization with G. fortis. This study shows how a few loci with large effect on a fitness-related trait contribute to the genetic potential for rapid adaptive radiation.",37769091,https://pubmed.ncbi.nlm.nih.gov/37769091/,,,,
10.1093/evolut/qpad160,The fitness landscape of a community of Darwin's finches.,Marc-Olivier Beausoleil; Paola Lorena Carrión; Jeffrey Podos; Carlos Camacho; Julio Rabadán-González; Roxanne Richard; Kristen Lalla; Joost A M Raeymaekers; Sarah A Knutie; Luis F De León; Jaime A Chaves; Dale H Clayton; Jennifer A H Koop; Diana M T Sharpe; Kiyoko M Gotanda; Sarah K Huber; Rowan D H Barrett; Andrew P Hendry,2023-12-02,Evolution; international journal of organic evolution,"Divergent natural selection should lead to adaptive radiation-that is, the rapid evolution of phenotypic and ecological diversity originating from a single clade. The drivers of adaptive radiation have often been conceptualized through the concept of ""adaptive landscapes,"" yet formal empirical estimates of adaptive landscapes for natural adaptive radiations have proven elusive. Here, we use a 17-year dataset of Darwin's ground finches (Geospiza spp.) at an intensively studied site on Santa Cruz (Galápagos) to estimate individual apparent lifespan in relation to beak traits. We use these estimates to model a multi-species fitness landscape, which we also convert to a formal adaptive landscape. We then assess the correspondence between estimated fitness peaks and observed phenotypes for each of five phenotypic modes (G. fuliginosa, G. fortis [small and large morphotypes], G. magnirostris, and G. scandens). The fitness and adaptive landscapes show 5 and 4 peaks, respectively, and, as expected, the adaptive landscape was smoother than the fitness landscape. Each of the five phenotypic modes appeared reasonably close to the corresponding fitness peak, yet interesting deviations were also documented and examined. By estimating adaptive landscapes in an ongoing adaptive radiation, our study demonstrates their utility as a quantitative tool for exploring and predicting adaptive radiation.",37671423,https://pubmed.ncbi.nlm.nih.gov/37671423/,,,,
10.1093/g3journal/jkad158,Comparative transcriptomics and gene expression divergence associated with homoploid hybrid speciation in Argyranthemum.,Oliver W White; Alfredo Reyes-Betancort; Mark A Carine; Mark A Chapman,2023-09-30,G3,"Ecological isolation is increasingly thought to play an important role in speciation, especially for the origin and reproductive isolation of homoploid hybrid species. However, the extent to which divergent and/or transgressive gene expression changes are involved in speciation is not well studied. In this study, we employ comparative transcriptomics to investigate gene expression changes associated with the origin and evolution of two homoploid hybrid plant species, Argyranthemum sundingii and A. lemsii (Asteraceae). As there is no standard methodology for comparative transcriptomics, we examined five different pipelines for data assembly and analysing gene expression across the four species (two hybrid and two parental). We note biases and problems with all pipelines, and the approach used affected the biological interpretation of the data. Using the approach that we found to be optimal, we identify transcripts showing DE between the parental taxa and between the homoploid hybrid species and their parents; in several cases, putative functions of these DE transcripts have a plausible role in ecological adaptation and could be the cause or consequence of ecological speciation. Although independently derived, the homoploid hybrid species have converged on similar expression phenotypes, likely due to adaptation to similar habitats.",37477910,https://pubmed.ncbi.nlm.nih.gov/37477910/,PMC10542503,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10542503/,,
10.1016/j.scitotenv.2023.164990,Plant invasion causes alterations in Darwin's finch feeding patterns in Galápagos cloud forests.,Rebecca Hood-Nowotny; Ingrid Rabitsch; Arno Cimadom; Marcela Suarez-Rubio; Andrea Watzinger; Paul Schmidt Yáñez; Christian H Schulze; Sophie Zechmeister-Boltenstern; Heinke Jäger; Sabine Tebbich,2023-10-15,The Science of the total environment,"Invasive species pose a major threat to forest biodiversity, particularly on islands such as the Galapágos. Here, invasive plants are threatening the remnants of the unique cloud forest and its iconic Darwin's finches. We posit that food web disturbances caused by invasive Rubus niveus (blackberry), have contributed to the rapid decline of the insectivourous green warbler finch (Certhidae olivacea). We compared the birds' dietary changes in long-term management, short-term management and unmanaged areas. We measured C:N ratios, and δ15N‑nitrogen and δ13C‑carbon values in both consumer tissues (bird-blood) and food sources (arthropods), as indicators of resource use change, and collected mass abundance, and arthropod diversity data. We characterised the birds' diets using isotope mixing models. The results revealed that finches in (blackberry-invaded) unmanaged areas foraged more on abundant, yet lower quality, arthropods present in the invaded understory. This suggests that blackberry encroachment leads to a decrease in food source quality with physiological consequences for green warbler finch chicks. Results also implied that blackberry control has a short-term impact on food source quantity, which led to a decrease in chick recruitment that we observed in our previous studies; despite this, in the long-term, these managed systems show signs of recovery within three years of restoration.",37364830,https://pubmed.ncbi.nlm.nih.gov/37364830/,,,,
10.1093/evolut/qpad072,Transgressive segregation in mating traits drives hybrid speciation.,Kotaro Kagawa; Gaku Takimoto; Ole Seehausen,2023-06-29,Evolution; international journal of organic evolution,"Hybridization can rapidly generate novel genetic variation, which can promote ecological speciation by creating novel adaptive phenotypes. However, it remains unclear how hybridization, creating novel mating phenotypes (e.g., mating season, genitalia shapes, sexual displays, mate preferences), affects speciation especially when the phenotypes do not confer adaptive advantages. Here, based on individual-based evolutionary simulations, we propose that transgressive segregation of mating traits can drive incipient hybrid speciation. Simulations demonstrated that incipient hybrid speciation occurred most frequently when the hybrid population received moderate continued immigration from parental lineages causing recurrent episodes of hybridization. Recurrent hybridization constantly generated genetic variation, which promoted the rapid stochastic evolution of mating phenotypes in a hybrid population. The stochastic evolution continued until a novel mating phenotype came to dominate the hybrid population, which reproductively isolates the hybrid population from parental lineages. However, too frequent hybridization rather hindered the evolution of reproductive isolation by inflating the variation of mating phenotypes to produce phenotypes allowing mating with parental lineages. Simulations also revealed conditions for the long-term persistence of hybrid species after their incipient emergence. Our results suggest that recurrent transgressive segregation of mating phenotypes can offer a plausible explanation for hybrid speciation and radiations that involved little adaptive ecological divergence.",37094817,https://pubmed.ncbi.nlm.nih.gov/37094817/,,,,
10.1042/EBC20220118,Molecular divergence with major morphological consequences: development and evolution of organ size and shape.,John P Masly; Md Golam Azom,2022-12-08,Essays in biochemistry,"Understanding the causes of the morphological diversity among organisms is a topic of great interest to evolutionary developmental biologists. Although developmental biologists have had great success in identifying the developmental mechanisms and molecular processes that specify organ size and shape within species, only relatively recently have the molecular tools become available to study how variation in these mechanisms gives rise to the phenotypic differences that are observed among closely related species. In addition to these technological advances, researchers interested in understanding how molecular variation gives rise to phenotypic variation have used three primary strategies to identify the molecular differences underlying species-specific traits: the candidate gene approach, differential gene expression screens, and between-species genetic mapping experiments. In this review, we discuss how these approaches have been successful in identifying the genes and the cellular mechanisms by which they specify variation in one of the most recognizable examples of the evolution of organ size, the adaptive variation in beak morphology among Darwin's finches. We also discuss insect reproductive structures as a model with great potential to advance our understanding of the specification and evolution of organ size and shape differences among species. The results from these two examples, and those from other species, show that species-specific variation in organ size and shape typically evolves via changes in the timing, location, and amount of gene/protein expression that act on tissue growth processes.",36373649,https://pubmed.ncbi.nlm.nih.gov/36373649/,,,,
10.1038/s41467-022-33723-w,Spatiotemporal variations in retrovirus-host interactions among Darwin's finches.,Jason Hill; Mette Lillie; Mats E Pettersson; Carl-Johan Rubin; B Rosemary Grant; Peter R Grant; Leif Andersson; Patric Jern,2022-10-13,Nature communications,"Endogenous retroviruses (ERVs) are inherited remnants of retroviruses that colonized host germline over millions of years, providing a sampling of retroviral diversity across time. Here, we utilize the strength of Darwin's finches, a system synonymous with evolutionary studies, for investigating ERV history, revealing recent retrovirus-host interactions in natural populations. By mapping ERV variation across all species of Darwin's finches and comparing with outgroup species, we highlight geographical and historical patterns of retrovirus-host occurrence, utilizing the system for evaluating the extent and timing of retroviral activity in hosts undergoing adaptive radiation and colonization of new environments. We find shared ERVs among all samples indicating retrovirus-host associations pre-dating host speciation, as well as considerable ERV variation across populations of the entire Darwin's finches' radiation. Unexpected ERV variation in finch species on different islands suggests historical changes in gene flow and selection. Non-random distribution of ERVs along and between chromosomes, and across finch species, suggests association between ERV accumulation and the rapid speciation of Darwin's finches.",36229469,https://pubmed.ncbi.nlm.nih.gov/36229469/,PMC9562234,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9562234/,,
10.1002/ece3.9399,The terroir of the finch: How spatial and temporal variation shapes phenotypic traits in DARWIN'S finches.,Paola L Carrión; Joost A M Raeymaekers; Luis Fernando De León; Jaime A Chaves; Diana M T Sharpe; Sarah K Huber; Anthony Herrel; Bieke Vanhooydonck; Kiyoko M Gotanda; Jennifer A H Koop; Sarah A Knutie; Dale H Clayton; Jeffrey Podos; Andrew P Hendry,2022-10-01,Ecology and evolution,"The term terroir is used in viticulture to emphasize how the biotic and abiotic characteristics of a local site influence grape physiology and thus the properties of wine. In ecology and evolution, such terroir (i.e., the effect of space or ""site"") is expected to play an important role in shaping phenotypic traits. Just how important is the pure spatial effect of terroir (e.g., differences between sites that persist across years) in comparison to temporal variation (e.g., differences between years that persist across sites), and the interaction between space and time (e.g., differences between sites change across years)? We answer this question by analyzing beak and body traits of 4388 medium ground finches (Geospiza fortis) collected across 10 years at three locations in Galápagos. Analyses of variance indicated that phenotypic variation was mostly explained by site for beak size (η 2 = 0.42) and body size (η 2 = 0.43), with a smaller contribution for beak shape (η 2 = 0.05) and body shape (η 2 = 0.12), but still higher compared to year and site-by-year effects. As such, the effect of terroir seems to be very strong in Darwin's finches, notwithstanding the oft-emphasized interannual variation. However, these results changed dramatically when we excluded data from Daphne Major, indicating that the strong effect of terroir was mostly driven by that particular population. These phenotypic results were largely paralleled in analyses of environmental variables (rainfall and vegetation indices) expected to shape terroir in this system. These findings affirm the evolutionary importance of terroir, while also revealing its dependence on other factors, such as geographical isolation.",36225827,https://pubmed.ncbi.nlm.nih.gov/36225827/,PMC9534727,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9534727/,,
10.1111/mec.16690,Transcriptomic responses of Galápagos finches to avian poxvirus infection.,Sabrina M McNew; Diana Carolina Loyola; Janaí Yepez; Catherine Andreadis; Kiyoko Gotanda; Ashley Saulsberry; Birgit Fessl,2022-11-01,Molecular ecology,"Emerging pathogens can have devastating effects on naïve hosts, but disease outcomes often vary among host species. Comparing the cellular response of different hosts to infection can provide insight into mechanisms of host defence. Here, we used RNA-seq to characterize the transcriptomic response of Darwin's finches to avian poxvirus, a disease of concern in the Galápagos Islands. We tested whether gene expression differs between infected and uninfected birds, and whether transcriptomic differences were related either to known antiviral mechanisms and/or the co-option of the host cellular environment by the virus. We compared two species, the medium ground finch (Geospiza fortis) and the vegetarian finch (Platyspiza crassirostris), to determine whether endemic Galápagos species differ in their response to pox. We found that medium ground finches had a strong transcriptomic response to infection, upregulating genes involved in the innate immune response including interferon production, inflammation, and other immune signalling pathways. In contrast, vegetarian finches had a more limited response, and some changes in this species were consistent with viral manipulation of the host's cellular function and metabolism. Many of the transcriptomic changes mirrored responses documented in model and in vitro studies of poxviruses. Our results thus indicate that many pathways of host defence against poxviruses are conserved among vertebrates and present even in hosts without a long evolutionary history with the virus. At the same time, the differences we observed between closely related species suggests that some endemic species of Galápagos finch could be more susceptible to avian pox than others.",36086992,https://pubmed.ncbi.nlm.nih.gov/36086992/,,,,
